target_role,target_level,expected_keywords,expected_skills,preferred_min_projects,preferred_min_experience_bullets,preferred_min_project_bullets,notes
Data Analyst,Entry-level,"python;sql;excel;tableau;power bi;data analysis;visualization;statistics;dashboard;pandas","python;sql;excel;tableau;power bi",2,3,2,"Entry-level data analyst resumes should show tools, projects, dashboards, and measurable analysis outcomes."
Data Analyst,Experienced,"python;sql;dashboard;business intelligence;a/b testing;etl;stakeholder;metrics;automation;data pipeline","python;sql;tableau;power bi;etl",2,5,3,"Experienced data analyst resumes should show business impact, stakeholder work, automation, and metric ownership."
Backend Developer,Entry-level,"python;java;api;rest;database;sql;fastapi;spring;authentication;git","python;java;api;sql;git",2,3,2,"Entry-level backend resumes should show API projects, database use, clean implementation, and deployment awareness."
Backend Developer,Experienced,"api;microservices;database;scalability;redis;docker;kubernetes;ci/cd;system design;performance","api;database;docker;ci/cd;system design",2,5,3,"Experienced backend resumes should show scalable systems, performance, ownership, and production impact."
Marketing Associate,Entry-level,"marketing;campaign;social media;content;seo;analytics;brand;email marketing;market research;copywriting","social media;content marketing;seo;analytics;copywriting",2,3,2,"Entry-level marketing resumes should show campaign support, content creation, social media work, and basic analytics."
Marketing Associate,Experienced,"marketing strategy;campaign management;seo;content strategy;brand management;analytics;conversion rate;crm;stakeholder;budget","campaign management;seo;analytics;crm;content strategy",2,5,3,"Experienced marketing resumes should show campaign ownership, measurable growth, audience insights, and cross-functional execution."
Digital Marketing Specialist,Entry-level,"digital marketing;seo;sem;google analytics;social media;content;email marketing;campaign;conversion;paid ads","seo;google analytics;social media;email marketing;paid ads",2,3,2,"Entry-level digital marketing resumes should show familiarity with digital channels, analytics tools, and campaign execution."
Digital Marketing Specialist,Experienced,"seo;sem;google analytics;paid media;conversion optimization;marketing automation;crm;campaign strategy;performance marketing;roi","seo;sem;google analytics;paid media;marketing automation",2,5,3,"Experienced digital marketing resumes should show channel ownership, performance metrics, ROI improvement, and optimization work."
IT Support Specialist,Entry-level,"troubleshooting;help desk;ticketing;windows;macos;hardware;software;network;customer support;active directory","troubleshooting;help desk;windows;network;customer support",1,3,2,"Entry-level IT support resumes should show troubleshooting ability, ticket handling, user support, and basic system knowledge."
IT Support Specialist,Experienced,"technical support;incident management;service desk;active directory;network troubleshooting;system administration;itil;endpoint management;documentation;sla","technical support;active directory;network troubleshooting;itil;endpoint management",1,5,2,"Experienced IT support resumes should show ownership of incidents, SLA awareness, documentation, and support process improvement."
System Administrator,Entry-level,"linux;windows server;networking;security;backup;monitoring;active directory;scripting;troubleshooting;virtualization","linux;windows server;networking;active directory;scripting",2,3,2,"Entry-level system administrator resumes should show server basics, troubleshooting, scripting, and infrastructure awareness."
System Administrator,Experienced,"linux;windows server;automation;monitoring;security;backup;disaster recovery;virtualization;cloud;system performance","linux;windows server;automation;monitoring;security",2,5,3,"Experienced system administrator resumes should show infrastructure ownership, automation, monitoring, security, and reliability improvements."
Administrative Assistant,Entry-level,"scheduling;calendar management;data entry;documentation;email;filing;office support;communication;excel;coordination","scheduling;data entry;excel;documentation;communication",1,3,1,"Entry-level administrative assistant resumes should show organization, communication, scheduling, and office support skills."
Administrative Assistant,Experienced,"office administration;calendar management;workflow coordination;report preparation;vendor coordination;records management;excel;communication;process improvement;confidentiality","office administration;calendar management;excel;records management;process improvement",1,5,2,"Experienced administrative assistant resumes should show coordination ownership, process improvement, confidentiality, and reliable office operations."
Operations Coordinator,Entry-level,"operations;coordination;scheduling;inventory;reporting;excel;process improvement;vendor;logistics;communication","operations;coordination;excel;reporting;communication",1,3,2,"Entry-level operations coordinator resumes should show coordination, reporting, process awareness, and cross-team communication."
Operations Coordinator,Experienced,"operations management;process improvement;vendor management;logistics;inventory control;kpi;reporting;workflow optimization;stakeholder;cost reduction","operations management;process improvement;kpi;reporting;vendor management",1,5,2,"Experienced operations coordinator resumes should show process ownership, KPI tracking, vendor coordination, and measurable operational improvements."
Human Resources Assistant,Entry-level,"hr;recruitment;onboarding;employee records;interview scheduling;hris;communication;documentation;compliance;administration","recruitment;onboarding;hris;documentation;communication",1,3,1,"Entry-level HR assistant resumes should show recruiting support, onboarding, documentation, and people operations basics."
Human Resources Assistant,Experienced,"hr operations;recruitment coordination;onboarding;employee relations;hris;compliance;policy;records management;training coordination;reporting","hr operations;onboarding;hris;compliance;reporting",1,5,2,"Experienced HR assistant resumes should show HR process ownership, compliance awareness, employee support, and reporting."
Project Coordinator,Entry-level,"project coordination;scheduling;documentation;stakeholder;meeting notes;timeline;risk tracking;communication;excel;reporting","project coordination;scheduling;documentation;communication;reporting",1,3,2,"Entry-level project coordinator resumes should show organization, schedule tracking, meeting documentation, and communication skills."
Project Coordinator,Experienced,"project management;stakeholder management;timeline management;risk management;status reporting;agile;jira;budget tracking;process improvement;cross-functional","project management;stakeholder management;jira;status reporting;process improvement",1,5,2,"Experienced project coordinator resumes should show delivery tracking, stakeholder communication, risk management, and measurable project outcomes."
Customer Success Associate,Entry-level,"customer success;customer support;crm;onboarding;communication;retention;relationship management;problem solving;feedback;documentation","customer support;crm;communication;problem solving;documentation",1,3,1,"Entry-level customer success resumes should show communication, customer support, CRM usage, and onboarding assistance."
Customer Success Associate,Experienced,"customer success;account management;retention;churn reduction;crm;customer onboarding;stakeholder management;upsell;customer health;renewal","customer success;crm;account management;retention;customer onboarding",1,5,2,"Experienced customer success resumes should show retention impact, account ownership, customer health tracking, and renewal support."